id;branch_name;address;pin_code;branch_head;cell_phone_no;land_line_phone_no;email_id;fax_no;is_main_branch;start_date;created_by;created_on;updated_by;updated_on;status
1;Mouse;Junctions one-to-one;analyzing holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;SCS;2019-11-14;transmit Ways;2019-11-14;engage;2019-11-14;redefine transmitting
2;bypassing Bypass;Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;white SMTP;Che;2019-11-14;Kyrgyz Republic transmit;2019-11-14;SAS;2019-11-14;California PNG engage
3;Burg;transmit Credit Card Account;digital Corporate Checking Account;seamless New York mesh;Unbranded array;Berkshire solid state;middleware Switzerland;Data Granite Configuration;com;2019-11-14;frictionless orchid;2019-11-14;robust;2019-11-14;Creek
4;Shirt Metal;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;Island cyan;Granite open architecture;Erg;2019-11-14;Sleek GB Regional;2019-11-15;systemic;2019-11-14;quantify
5;Manager;cultivate Bedfordshire;navigate Kiribati;bypass Games Customer-focused;Bond Markets Units European Composite Unit (EURCO) connecting generate;Refined;back-end enhance;optimal;Cha;2019-11-14;Incredible;2019-11-14;Total;2019-11-14;Ranch impactful
6;Berkshire Awesome;pixel Pennsylvania;architectures Cotton;viral;payment Illinois dot-com;methodology Integration Music;Pants;Avon;blu;2019-11-14;Small Andorra infomediaries;2019-11-14;Fresh incubate Agent;2019-11-14;parsing
7;Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;App;2019-11-14;Checking Account frictionless;2019-11-14;Bahamas;2019-11-14;orange Trinidad and Tobago Dollar Gorgeous
8;UAE Dirham;Rubber Mall Investment Account;scalable Configuration calculating;infrastructures Mobility Representative;Shirt;Mobility;Arizona synthesizing Fresh;override back-end hacking;ope;2019-11-14;Tunisia granular;2019-11-14;whiteboard indexing;2019-11-14;e-enable Plaza intranet
9;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;hack Electronics Oklahoma;Cam;2019-11-14;generate;2019-11-14;Investment Account;2019-11-14;Cameroon Bedfordshire models
10;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;Chips National Idaho;vortals value-added;Salad Connecticut;Generic Advanced;HDD Security Virginia;solid state Clothing deposit;Mai;2019-11-14;Configuration;2019-11-14;Coves Concrete Officer;2019-11-14;Fresh
