id;name;description;course_duration;course_type;year_or_semester_type;total_fee;yearly_fee;per_semester_fee;comments;created_by;created_on;updated_by;updated_on;status
1;Paradigm Rubber;e-commerce Soap Cotton;customized Incredible Concrete Fish;payment;Licensed COM Norfolk Island;69968;89838;41085;Kentucky Solutions;compressing;2020-01-09;Ergonomic Arkansas Island;2020-01-10;Planner
2;Business-focused;Auto Loan Account feed Kids;EXE Configurable;Cheese Pennsylvania knowledge base;Sharable methodologies open-source;3177;96972;78205;Future-proofed Steel;Small Metal Hat;2020-01-09;Visionary;2020-01-09;Customer-focused Ohio
3;Internal transmit;Turnpike;cross-platform Bacon;knowledge user;Computer;83459;46669;35833;Internal Idaho;enable;2020-01-09;synthesizing drive;2020-01-09;concept
4;Music UIC-Franc Handcrafted;Morocco Automotive;groupware De-engineered;payment Director;Assurance bypassing;22398;41766;23914;Borders;Program payment Handcrafted;2020-01-10;Palestinian Territory;2020-01-09;backing up virtual Investment Account
5;Future Security;out-of-the-box relationships;Norfolk Island analyzing maroon;Towels;Sports;90724;4191;15628;mint green Cambridgeshire;California Fully-configurable Cambridgeshire;2020-01-09;Paradigm;2020-01-10;HTTP Applications Regional
6;migration foreground;copy;Handcrafted Soft Table innovate;programming Metal;Beauty Configuration Mandatory;10761;37904;76812;Bedfordshire applications Multi-tiered;Bedfordshire superstructure;2020-01-09;structure;2020-01-10;solution-oriented Clothing
7;Yemeni Rial Graphic Interface Re-contextualized;cutting-edge;synthesizing experiences Cotton;bluetooth heuristic;auxiliary Orchestrator olive;45965;68804;43098;task-force;Car;2020-01-09;Inverse initiative Turkmenistan;2020-01-09;Keyboard Towels content
8;solid state bandwidth Jordanian Dinar;Licensed Movies;Soap strategic;Enterprise-wide;transmitting;94825;97469;30460;contextually-based;SQL;2020-01-09;functionalities;2020-01-10;Practical Rubber Chair
9;TCP hard drive;Jewelery virtual customer loyalty;Cordoba Oro;mesh Supervisor;Gorgeous Granite Fish Indiana;75145;90424;13196;Borders green;technologies;2020-01-09;digital;2020-01-10;Exclusive
10;Unbranded Ergonomic violet;extensible;asymmetric composite pricing structure;Refined Granite Cheese mindshare;Berkshire Tugrik;55276;16136;21625;indigo process improvement;Towels Fish even-keeled;2020-01-10;infrastructures Yuan Renminbi;2020-01-10;Toys harness Turkish Lira
