id;name;description;dept_head;comments;created_by;created_on;updated_by;updated_on;status
1;Run withdrawal;Buckinghamshire quantifying;Fresh redundant;open system;deliverables Avon;2020-01-09;Chief;2020-01-09;Borders
2;Montana Cambridgeshire withdrawal;Designer;scale withdrawal Wooden;CSS Ball;tan Shirt programming;2020-01-10;Intranet Designer;2020-01-09;Soft incentivize
3;Identity Senior efficient;generating cross-platform Chips;Electronics Down-sized Tajikistan;Persevering optimizing;Auto Loan Account;2020-01-09;Generic Cotton Cheese Decentralized high-level;2020-01-09;blue human-resource
4;Chief;Response;azure Seamless;Mississippi Health input;Soap Buckinghamshire convergence;2020-01-09;Representative navigate repurpose;2020-01-09;Chicken Shoes
5;Incredible Metal Hat;Credit Card Account;Mission generate Steel;Home Swaziland;Configuration Officer;2020-01-09;connect;2020-01-10;proactive
6;application Frozen;black Corporate;maximize digital streamline;Connecticut invoice white;Bolivar Fuerte Tennessee;2020-01-09;facilitate Incredible Steel Fish navigating;2020-01-09;copy
7;action-items;Garden;multi-tasking Unbranded Metal Ball Home Loan Account;Cape Verde Escudo encoding;Personal Loan Account Personal Loan Account Buckinghamshire;2020-01-10;Product;2020-01-10;Branch Singapore Dollar Pitcairn Islands
8;Investment Account Consultant;encompassing;Incredible;compressing Incredible;connecting Metrics lavender;2020-01-10;Implementation Rustic Wooden Bike;2020-01-10;Money Market Account Pants Architect
9;Global white;Center;Legacy invoice;Florida;secondary Soft Brand;2020-01-09;Ferry;2020-01-09;Inverse interface
10;PCI Legacy Product;open architecture;grid-enabled;microchip;seamless applications transmitting;2020-01-10;sensor;2020-01-09;national
