id;logo_file_path;logo_file_name;logo_file_extension;legal_name_of_college;type_of_college;date_of_incorporation;registered_office_address;college_identification_number;pan;tan;tan_circle_number;cit_tds_location;form_signatory;pf_number;pf_registration_date;pf_signatory;esi_number;esi_registration_date;esi_signatory;pt_number;pt_registration_date;pt_signatory
1;strategy instruction set Persistent;seize Handmade Plastic Mouse;auxiliary Money Market Account Cotton;Switzerland Chief;Inlet Rue;2019-11-14;Idaho Grocery;Concrete Towels Avon;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist;Towels applications;8534;Officer Bedfordshire;2019-11-14;30993;scale;2019-11-14;20990;National turquoise orchid;2019-11-15;37772
2;generating Arkansas;synthesize;Macedonia Japan;target Rhode Island;Intelligent;2019-11-14;Tasty navigate didactic;payment schemas Industrial;calculating;withdrawal Toys white;olive;Kids Incredible;79991;Salad payment;2019-11-15;72081;open-source;2019-11-14;72226;SAS parsing;2019-11-14;94440
3;Concrete empower superstructure;Kids;microchip;Music Salad North Carolina;circuit Forward;2019-11-14;end-to-end navigating;Alaska solution-oriented;best-of-breed generate;applications context-sensitive;Consultant back-end Fresh;Cambridgeshire Central;79985;supply-chains;2019-11-15;51245;generate;2019-11-14;63347;Down-sized Metal;2019-11-14;42170
4;Granite Corporate Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden;2019-11-14;system-worthy pixel Phased;withdrawal Towels;navigating seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;35567;monitor methodology West Virginia;2019-11-14;39664;Factors Soft;2019-11-14;21494;Beauty;2019-11-14;16201
5;backing up indexing;Savings Account extensible connect;robust;interface Buckinghamshire;Investment Account Forge Licensed;2019-11-15;Clothing Engineer Toys;granular;solid state;Soft Quality Mount;Awesome;USB alarm 1080p;65878;Philippine Peso parsing Triple-buffered;2019-11-14;64666;Rand Namibia Dollar;2019-11-15;94405;Small Metal Soap Principal Towels;2019-11-14;47321
6;algorithm Metal card;Direct;experiences online program;indexing;South Georgia and the South Sandwich Islands;2019-11-14;payment;Organic Granite;SMS;magnetic interface;Kansas;Maldives bluetooth policy;62589;ADP Personal Loan Account;2019-11-15;41750;Track;2019-11-14;2126;CSS;2019-11-14;38396
7;Data Tasty Steel Pants Licensed Steel Shirt;Manor;Utah zero defect;bypass e-services;Russian Federation program;2019-11-15;Inlet;systematic;program;Gorgeous Steel Salad Associate;Fantastic whiteboard;lavender;94996;open-source Generic methodologies;2019-11-14;88419;Investment Account Investor Officer;2019-11-14;99116;Intuitive;2019-11-14;83782
8;Phased connecting;Automated;architect;lavender;copying primary invoice;2019-11-15;Cambridgeshire Personal Loan Account Chile;syndicate;Buckinghamshire Liaison Forward;Pre-emptive Reduced;Kids Customer;Practical AI didactic;12951;HTTP Configuration;2019-11-14;3542;monitoring Infrastructure bandwidth;2019-11-14;40845;implement;2019-11-14;69571
9;Sleek Granite Car Integration Handcrafted;Tasty backing up Cambridgeshire;Borders Internal;open-source Ouguiya;AGP circuit;2019-11-14;SMTP Synchronised Pizza;array;Quality-focused Quality Generic;override Salad XSS;Burg SAS Music;one-to-one reboot Chair;81796;synthesizing Bedfordshire;2019-11-15;19313;Generic;2019-11-14;98118;deposit exuding;2019-11-14;907
10;synthesizing Wooden;back up;web services copying;deposit Mobility;solid state;2019-11-15;bypass Paradigm Chicken;Handmade Rubber Shoes proactive Checking Account;SCSI;Technician Architect calculate;Auto Loan Account;Movies Sports;32361;Buckinghamshire compress;2019-11-14;102;Ball Wells;2019-11-14;42618;Terrace;2019-11-15;52702
